,jointime,outtime,scores,one,two
336,2018-07-11,2019-04-24 23:57:11,30,2019-04-24,23:57:11
337,2013-07-24,2019-04-24 03:34:48,30,2019-04-24,03:34:48
338,2017-05-27,2019-05-02 21:09:03,30,2019-05-02,21:09:03
339,2006-12-31,2019-04-25 19:44:02,30,2019-04-25,19:44:02
340,2008-03-19,2019-05-02 10:53:11,30,2019-05-02,10:53:11
341,2008-04-10,2019-04-25 00:08:39,30,2019-04-25,00:08:39
342,2006-07-04,2019-04-26 17:39:06,30,2019-04-26,17:39:06
343,2007-02-12,2019-04-24 14:21:55,30,2019-04-24,14:21:55
344,2009-05-18,2019-04-24 15:40:16,30,2019-04-24,15:40:16
345,2011-11-11,2019-04-24 13:39:52,30,2019-04-24,13:39:52
346,2010-12-08,2019-05-09 15:39:12,30,2019-05-09,15:39:12
347,2012-04-21,2019-04-25 22:52:42,30,2019-04-25,22:52:42
348,2014-10-14,2019-04-24 03:29:57,30,2019-04-24,03:29:57
349,2015-11-28,2019-04-28 07:13:34,30,2019-04-28,07:13:34
350,2010-10-21,2019-04-24 20:25:03,30,2019-04-24,20:25:03
351,2009-02-27,2019-04-26 00:35:31,30,2019-04-26,00:35:31
352,2015-12-31,2019-04-27 09:24:27,30,2019-04-27,09:24:27
353,2012-08-10,2019-04-26 08:54:50,30,2019-04-26,08:54:50
354,2008-03-30,2019-04-24 10:51:45,30,2019-04-24,10:51:45
355,2012-07-20,2019-04-25 04:44:06,30,2019-04-25,04:44:06
356,2010-09-20,2019-04-24 13:33:13,30,2019-04-24,13:33:13
357,2018-04-26,2019-04-25 15:22:13,30,2019-04-25,15:22:13
358,2018-01-28,2019-04-24 17:46:25,30,2019-04-24,17:46:25
359,2007-12-12,2019-04-26 17:03:09,30,2019-04-26,17:03:09
360,2008-01-16,2019-04-30 00:17:13,30,2019-04-30,00:17:13
361,2015-09-04,2019-04-25 07:10:20,30,2019-04-25,07:10:20
362,2006-12-12,2019-04-25 22:23:47,30,2019-04-25,22:23:47
363,2010-01-24,2019-04-24 22:02:02,30,2019-04-24,22:02:02
364,2011-07-24,2019-04-24 22:13:16,30,2019-04-24,22:13:16
365,2017-08-14,2019-05-13 21:58:07,30,2019-05-13,21:58:07
366,2013-03-28,2019-04-24 23:57:04,30,2019-04-24,23:57:04
367,2012-04-01,2019-04-26 20:39:15,30,2019-04-26,20:39:15
368,2010-09-18,2019-04-26 22:47:05,30,2019-04-26,22:47:05
369,2008-05-06,2019-04-27 22:22:11,30,2019-04-27,22:22:11
370,2012-11-07,2019-05-03 21:02:24,30,2019-05-03,21:02:24
371,2008-11-12,2019-04-26 17:32:00,30,2019-04-26,17:32:00
372,2010-06-03,2019-04-25 03:07:18,30,2019-04-25,03:07:18
373,2017-01-06,2019-04-25 06:43:37,30,2019-04-25,06:43:37
374,2014-03-14,2019-04-24 03:09:11,30,2019-04-24,03:09:11
